id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
20021,11265,VILLACHER ALPE,13.672778,46.603611,2117.0,1994-08-01,2100-12-31,KNT,ja,ja
20030,,ARNOLDSTEIN,13.7,46.549999,555.0,1978-04-01,1990-12-31,KNT,nein,ja
20100,,KANZELHOEHE,13.906667,46.678055,1526.0,1953-04-01,2003-01-31,KNT,ja,nein
20101,11216,KANZELHOEHE,13.901944,46.677223,1520.0,2002-01-01,2100-12-31,KNT,ja,ja
20102,,KANZELHOEHE,13.9,46.666668,1477.0,1928-01-01,1952-12-31,KNT,ja,nein
20105,11275,ARRIACH,13.8525,46.727779,890.0,1990-07-01,2100-12-31,KNT,ja,ja
20106,,ARRIACH,13.85,46.733334,896.0,1947-08-01,1952-05-31,KNT,ja,nein
20110,,VELDEN,14.033334,46.616665,535.0,1961-01-01,1982-12-31,KNT,ja,nein
20118,11213,VILLACH/SEEBACH,13.8775,46.616943,492.0,1969-07-01,1980-03-31,KNT,ja,nein
20122,11213,VILLACH,13.866667,46.616665,495.0,1980-01-01,1990-03-31,KNT,ja,nein
20200,,FERLACH,14.303333,46.532501,474.0,1953-06-01,1983-09-30,KNT,ja,nein
20202,11235,FERLACH,14.314167,46.531113,459.0,2007-08-01,2100-12-31,KNT,ja,ja
20210,11231,KLAGENFURT-FLUGPLATZ,14.333333,46.650002,447.0,1883-08-01,2008-01-31,KNT,ja,ja
20211,11231,KLAGENFURT-FLUGHAFEN,14.333333,46.650002,447.0,1991-04-01,1996-12-31,KNT,ja,ja
20212,11231,KLAGENFURT-FLUGHAFEN,14.318334,46.648335,450.0,1996-09-01,2100-12-31,KNT,ja,ja
20213,,KLAGENFURT,14.333333,46.650002,447.0,1996-11-01,2008-12-31,KNT,ja,nein
20230,,RUPERTIBERG,14.1,46.566666,715.0,1965-01-01,1971-12-31,KNT,nein,nein
20235,,KIRSCHENTHEUER,14.266666,46.533333,441.0,1965-01-01,1971-09-30,KNT,nein,nein
20240,,FEISTRITZ/ROSENTAL,14.15,46.533333,466.0,1965-01-01,1971-12-31,KNT,nein,nein
20270,11227,FELDKIRCHEN,14.096945,46.721943,546.0,1995-07-01,2100-12-31,KNT,ja,ja
20330,,HOCHOBIR,14.483334,46.5,2041.0,1883-09-01,1944-06-30,KNT,ja,nein
20404,11232,FEISTRITZ ob BLEIBURG,14.7675,46.559166,530.0,2006-02-02,2007-07-31,KNT,nein,nein
20408,11224,VOELKERMARKT,14.618611,46.661388,473.1,2008-07-01,2015-10-31,KNT,ja,ja
20412,11232,FEISTRITZ ob BLEIBURG,14.766666,46.558887,532.0,2007-08-01,2100-12-31,KNT,ja,ja
20901,11248,BAD RADKERSBURG,15.978611,46.686668,208.0,1992-11-01,2000-06-30,STMK,ja,ja
20902,11248,BAD RADKERSBURG,15.979445,46.685833,209.8,2001-01-01,2016-04-30,STMK,ja,ja
21300,11234,BAD EISENKAPPEL,14.593333,46.490555,623.0,1982-10-01,2100-12-31,KNT,ja,ja
21302,,BAD EISENKAPPEL,14.6,46.483334,605.0,1967-06-01,1982-12-31,KNT,ja,nein
20411,11257,VOELKERMARKT-GOLDBRUNNHOF,14.639167,46.670834,466.0,2015-10-20,2100-12-31,KNT,nein,nein
3701,,JAUERLING/RASOCHER-HAUS,15.333333,48.333332,959.0,1975-06-01,1976-12-31,NOE,nein,nein
3702,11024,JAUERLING/ORF,15.339167,48.334446,955.0,1993-12-01,2100-12-31,NOE,ja,ja
3710,,JOCHING,15.459444,48.386112,212.0,1974-02-01,1992-12-31,NOE,nein,nein
3720,,UNTERLOIBEN,15.55,48.383335,201.0,1974-01-01,1984-09-30,NOE,nein,nein
